Airline,Number of States,Number of Airports,Total Flights,On-time,Delayed,Cancelled,AirTime
AS,32,80,35887,0.34078,0.43296,0.22626,4950160
AA,48,132,150367,0.32024,0.39426,0.2855,20429862
B6,33,74,36909,0.30871,0.38522,0.30607,5363917
CO,42,100,41420,0.38293,0.47317,0.1439,6013958
DL,51,169,161823,0.36564,0.40368,0.23067,18557084
F9,49,126,13964,0.29762,0.54762,0.15476,1772685
G4,44,124,2034,0.27941,0.67647,0.04412,233184
HP,32,60,14615,0.41732,0.4685,0.11417,1812012
NW,50,132,52691,0.37937,0.4493,0.17133,5523811
TW,39,81,7933,0.46939,0.53061,0,844904
UA,48,127,116345,0.34304,0.40939,0.24757,16716422
US,44,116,83191,0.3545,0.40388,0.24162,8638625
VX,20,31,3994,0.36036,0.4955,0.14414,743985
OO,48,305,104951,0.30524,0.41572,0.27904,7234573
9E,42,173,18946,0.28914,0.4598,0.25106,1270262
DH,36,101,7165,0.33503,0.48985,0.17513,444222
EV,48,231,67243,0.3084,0.36908,0.32253,4613702
MQ,48,209,77298,0.30222,0.37708,0.3207,4973345
OH,41,149,24032,0.33286,0.4,0.26714,1688951
WN,43,96,242451,0.32743,0.33451,0.33805,22157869
XE,46,168,35645,0.31347,0.41321,0.27332,2879852
YV,47,177,22025,0.32061,0.42621,0.25318,1478881
YX,41,102,6682,0.25915,0.50915,0.23171,588154
FL,36,81,25954,0.34174,0.43417,0.22409,2563831
HA,9,22,11482,0.40244,0.5,0.09756,947057
NK,29,51,8091,0.29362,0.43404,0.27234,1061789
TZ,18,32,2163,0.38261,0.53043,0.08696,325788
KH,3,11,1576,0.43182,0.47727,0.09091,81272
